Irradiance,Temperature,Simulated_Power_W
990,25,331.53
999,25,334.78
1006,25,337.3
1011,25,339.09
1013,25,339.57
1013,25,339.57
1010,25,338.61
1006,25,337.3
999,25,334.78
950,25,316.4
978,26,326.07
965,26,321.17
949,26,315.27
931,26,308.29
912,26,300.39
867,26,281.83
830,26,266.29
755,26,232.29
642,26,176.84
605,26,159.79
792,21,250.58
386,21,82.63
430,21,94.82
426,22,93.55
558,22,138.9
798,22,253.32
748,22,228.95
777,22,243.42
868,22,284.92
696,21,202.51
606,21,159.98
356,21,75.23
410,21,88.92
676,21,192.66
721,21,214.93
802,21,255.05
777,20,243.64
674,20,190.82
663,20,185.98
696,20,202.06
665,20,186.96
