Timestamp,Irradiance_Wm2,Temperature_C,Power_W
28.4,805.11,25.00,254.31
39.6,820.42,25.00,262.19
50.3,805.11,25.00,254.31
60.7,828.15,25.00,265.75
71.5,828.15,25.00,265.75
81.6,812.74,25.00,258.58
91.7,797.54,25.00,251.12
101.7,812.74,25.00,258.58
111.7,805.11,25.00,254.31
121.8,835.94,25.00,269.32
132.0,820.42,25.00,262.19
142.0,828.15,25.00,265.75
152.3,812.74,25.00,258.58
162.4,820.42,25.00,262.19
172.4,820.42,25.00,262.19
182.5,828.15,25.00,265.75
192.6,805.11,25.00,254.31
202.7,828.15,25.00,265.75
212.8,828.15,25.00,265.75
223.0,820.42,25.00,262.19
232.9,828.15,25.00,265.75
243.1,805.11,25.00,254.31
253.0,805.11,25.00,254.31
263.1,820.42,25.00,262.19
273.5,820.42,25.00,262.19
284.1,812.74,25.00,258.58
295.5,820.42,25.00,262.19
306.6,835.94,25.00,269.32
